Corruption,Description,Clean EER (%),Mean EER (%),Worst EER (%),Worst Severity,Rel. Degradation (%)
noise,Sensor/environmental noise,1.7250000000000008,8.995000000000001,21.9,5,1169.5652173913036
motion_blur,Hand motion blur,1.7250000000000008,10.735,19.674999999999997,5,1040.5797101449268
brightness,Lighting brightness changes,1.7250000000000008,5.445,15.449999999999998,5,795.6521739130428
jpeg,JPEG compression artifacts,1.7250000000000008,4.1899999999999995,11.124999999999998,5,544.9275362318837
rotation,Hand rotation/pose changes,1.7250000000000008,4.515000000000001,9.15,5,430.4347826086955
occlusion,Partial hand occlusion,1.7250000000000008,5.285000000000002,7.799999999999999,5,352.17391304347797
gaussian_blur,Focus/defocus blur,1.7250000000000008,2.83,4.449999999999999,5,157.97101449275343
scale,Distance/scale variations,1.7250000000000008,2.7500000000000004,3.0499999999999985,3,76.81159420289838
contrast,Lighting contrast changes,1.7250000000000008,1.8499999999999996,2.275000000000001,5,31.884057971014485
