corruption,severity,eer,eer_threshold,far_at_1pct_frr,genuine_mean,genuine_std,impostor_mean,impostor_std,num_pairs
clean,0,0.01725000000000001,0.2840327024459839,0.108,0.7490345538780093,0.1644341837019065,0.0319970834517153,0.10263087368447846,4000
rotation,1,0.022749999999999982,0.264148473739624,0.184,0.6862997945216485,0.17691169402131499,0.023131354080920572,0.09918508279497278,4000
rotation,2,0.02825000000000001,0.2396930456161499,0.3005,0.6533880953676998,0.18876472660090143,0.02631376871629618,0.09934744389668339,4000
rotation,3,0.033000000000000015,0.22129490971565247,0.261,0.6174787233057432,0.2054166422488628,0.032283598364330826,0.10004209340268053,4000
rotation,4,0.050249999999999996,0.20653028786182404,0.4015,0.5814287027926184,0.23148409233078016,0.04098920469963923,0.1014627558718091,4000
rotation,5,0.09150000000000001,0.19746553897857666,0.607,0.5514710998646914,0.2548840214271054,0.05267138735798653,0.1074677867088938,4000
scale,1,0.022499999999999982,0.2604956328868866,0.194,0.7452680691601709,0.17686180419678987,0.03223759581404738,0.10237019970989152,4000
scale,2,0.02775000000000001,0.2657449543476105,0.414,0.7430085187102669,0.18556959647299112,0.03939781116344966,0.10545977684940423,4000
scale,3,0.030499999999999985,0.27488046884536743,0.3415,0.7425969181177207,0.18725129610862945,0.04706507299095392,0.10650683869458834,4000
scale,4,0.029250000000000012,0.2780941128730774,0.2855,0.7392271149549633,0.18661823923354323,0.05306618702656124,0.1067402905145286,4000
scale,5,0.02750000000000001,0.2881377339363098,0.4495,0.735215607399121,0.18747299518339156,0.06044083804788534,0.10882688258885578,4000
brightness,1,0.017000000000000008,0.28806447982788086,0.0905,0.7456024982454256,0.16394887978611764,0.03153775216510985,0.10281863962969863,4000
brightness,2,0.01649999999999998,0.2842176556587219,0.095,0.7415396878933534,0.16482237875492212,0.03095302043785341,0.10288082724302945,4000
brightness,3,0.02425000000000001,0.26655638217926025,0.2355,0.7132517460770905,0.1794490577468515,0.02915110292186728,0.1146136924183194,4000
brightness,4,0.060000000000000026,0.21416887640953064,0.7225,0.646341251899954,0.22968314912191498,0.03353525615599938,0.15671305689865192,4000
brightness,5,0.15449999999999997,0.1532379537820816,0.931,0.5150853172349743,0.2965577109828319,0.06494890641944949,0.24103115528757857,4000
contrast,1,0.01624999999999998,0.29279884696006775,0.083,0.7444398860894144,0.16296503210426908,0.032002944224863314,0.10285310151179927,4000
contrast,2,0.01624999999999998,0.2942333519458771,0.0715,0.7342804682562127,0.1620161241986603,0.032171009292826055,0.1031190002423415,4000
contrast,3,0.01800000000000001,0.2826576232910156,0.0565,0.7218447111062706,0.161960996503286,0.03220446554757655,0.10297394521498572,4000
contrast,4,0.01925000000000001,0.2823934853076935,0.082,0.7060177384186536,0.164045062135557,0.03201685654465109,0.10304800246265791,4000
contrast,5,0.02275000000000001,0.27496784925460815,0.1035,0.6866913743410259,0.16939492968246173,0.03208082379377447,0.10368507551948855,4000
gaussian_blur,1,0.018499999999999982,0.2866194248199463,0.099,0.7500852706721053,0.16624703490561604,0.03221901473077014,0.10251547621814333,4000
gaussian_blur,2,0.022499999999999982,0.2733035981655121,0.142,0.7314664597716183,0.1776468308670906,0.03259823459701147,0.10382536100883018,4000
gaussian_blur,3,0.02600000000000001,0.30402639508247375,0.061,0.7366735186576844,0.17528101259783938,0.05671440954133868,0.11207321852271988,4000
gaussian_blur,4,0.030000000000000013,0.4064905345439911,0.084,0.7667386400699615,0.15839930663294113,0.12009681938355789,0.13267171639914085,4000
gaussian_blur,5,0.04449999999999999,0.5802426934242249,0.166,0.8320042360424995,0.1242240570237781,0.2661557914647274,0.17224393818352893,4000
motion_blur,1,0.022499999999999982,0.2680540084838867,0.102,0.6863378976583481,0.1763937877554593,0.029958176384912803,0.10266152544261455,4000
motion_blur,2,0.06025,0.21037183701992035,0.2445,0.5618289273418486,0.20989998753119674,0.03865329652128276,0.10715544304223804,4000
motion_blur,3,0.10575000000000001,0.2020987868309021,0.5595,0.4999649703297764,0.22843466612642963,0.05924646925460547,0.11580302007326791,4000
motion_blur,4,0.15149999999999997,0.2143433541059494,0.742,0.48149477490829307,0.2379264985221622,0.08820977860037238,0.12959856226275945,4000
motion_blur,5,0.19674999999999998,0.24418941140174866,0.7715,0.4847306036157534,0.24130511491734657,0.12263484276609961,0.14526830568634322,4000
jpeg,1,0.01975000000000001,0.2818138301372528,0.1195,0.7421530426284298,0.16751537080856624,0.031022189267212525,0.10338987105888107,4000
jpeg,2,0.016750000000000008,0.32617950439453125,0.086,0.7460901917014271,0.15694646509900317,0.05735212554968894,0.11071665244490503,4000
jpeg,3,0.027249999999999983,0.262398898601532,0.111,0.6858913691416383,0.17557526023061856,0.03453407582693035,0.10548066772522309,4000
jpeg,4,0.03449999999999999,0.27417781949043274,0.176,0.6433007152695209,0.16708473213201325,0.04564121768041514,0.10969587882789598,4000
jpeg,5,0.11124999999999999,0.43449515104293823,0.427,0.609650282740593,0.14257213777293878,0.23980782528035344,0.14704134215691747,4000
occlusion,1,0.034000000000000016,0.24200882017612457,0.184,0.6119391744332388,0.16640413765056986,0.032869717289111575,0.10362399197645081,4000
occlusion,2,0.04100000000000002,0.2296324074268341,0.2515,0.5640327272806317,0.1723087479556537,0.03478348578134319,0.10395379499917164,4000
occlusion,3,0.04925000000000002,0.229559063911438,0.4405,0.5384115826711059,0.17105572447825165,0.04208812899014447,0.10575964374995708,4000
occlusion,4,0.06200000000000003,0.2114364057779312,0.3625,0.5031338514871895,0.1802175436580404,0.0454553370878566,0.10453238012524445,4000
occlusion,5,0.07799999999999999,0.20514315366744995,0.486,0.4712628973578103,0.18162589579786595,0.048330665653338656,0.10687613399320628,4000
noise,1,0.022499999999999982,0.28024792671203613,0.075,0.726637545876205,0.16726608785519312,0.03502218395029195,0.10481859346600458,4000
noise,2,0.02800000000000001,0.33096128702163696,0.113,0.7061360250143335,0.1568598171117131,0.07615416264242958,0.1173204838421072,4000
noise,3,0.04549999999999999,0.49581074714660645,0.138,0.7395984949171543,0.12488425514316012,0.2085068291502539,0.15348054536795946,4000
noise,4,0.13475,0.6575891375541687,0.4645,0.7786992840468884,0.10845697742944577,0.436730479007354,0.18893370677311613,4000
noise,5,0.21899999999999997,0.7593778371810913,0.7225,0.8186689378470182,0.09447242555644031,0.6134737191321328,0.16844829177421244,4000
